,Encoding,Sampling,Scaling,Model,Precision Class 0,Precision Class 1,Recall Class 0,Recall Class 1,F1 Score Class 0,F1 Score Class 1,AUC Score,Overall Accuracy,balanced accuracy,fbeta score
85,Binary,Oversample,None,RandomForest,0.9535298149417409,0.6246023329798516,0.9515731874145007,0.634698275862069,0.9525504964053406,0.6296098343132015,0.7931357316382849,0.915877640203933,0.7931357316382848,0.6326530612244898
86,Binary,Oversample,None,XGBoost,0.9780269058295964,0.5045219638242894,0.8950752393980849,0.8415948275862069,0.9347142857142857,0.6308562197092085,0.8683350334921457,0.8890507404709881,0.8683350334921458,0.7423954372623573
87,Binary,Oversample,None,CatBoost,0.9849200304645849,0.4955170352659892,0.8845417236662106,0.8933189655172413,0.932036036036036,0.6374471357170319,0.888930344591726,0.8855304685603301,0.888930344591726,0.7697307335190343
88,Binary,Oversample,StandardScaler,DecisionTree,0.937610199376102,0.5410404624277456,0.9456908344733242,0.5043103448275862,0.9416331812299938,0.5220301171221415,0.7250005896504553,0.8959698956057296,0.7250005896504552,0.5112519117325759
89,Binary,Oversample,StandardScaler,RandomForest,0.9532556545579164,0.6224814422057264,0.9512995896032832,0.6325431034482759,0.9522766175967136,0.6274719401389631,0.7919213465257795,0.9153920854576354,0.7919213465257795,0.6305048335123523
90,Binary,Oversample,StandardScaler,XGBoost,0.9780269058295964,0.5045219638242894,0.8950752393980849,0.8415948275862069,0.9347142857142857,0.6308562197092085,0.8683350334921457,0.8890507404709881,0.8683350334921458,0.7423954372623573
91,Binary,Oversample,StandardScaler,CatBoost,0.9849200304645849,0.4955170352659892,0.8845417236662106,0.8933189655172413,0.932036036036036,0.6374471357170319,0.888930344591726,0.8855304685603301,0.888930344591726,0.7697307335190343
92,Binary,Oversample,MinMaxScaler,DecisionTree,0.9377880184331797,0.5453488372093023,0.9465116279069767,0.5053879310344828,0.9421296296296297,0.5246085011185682,0.7259497794707297,0.8968196164117505,0.7259497794707297,0.512904636920385
93,Binary,Oversample,MinMaxScaler,RandomForest,0.9533927347498287,0.623541887592789,0.9514363885088919,0.6336206896551724,0.952413557001027,0.6285408872260823,0.7925285390820321,0.9156348628307842,0.7925285390820321,0.6315789473684209
94,Binary,Oversample,MinMaxScaler,XGBoost,0.9798768583871452,0.5028499050031665,0.8926128590971272,0.8556034482758621,0.9342114682511274,0.6334264060630235,0.8741081536864945,0.888443797038116,0.8741081536864946,0.7503307503307504
